MRID,MUSE_702,MUSE_601,MUSE_604,MUSE_47,MUSE_48
OAS30067_MR_d0057,1314914.8272275925,641954.6360234843,514862.8585769477,4252.197852340826,3896.579259574727
OAS30068_MR_d0076,1484144.8264381886,598330.4927197847,455060.273472387,3376.13291013438,3073.888630560445
OAS30070_MR_d0070,1636286.7802419662,619041.5734168721,463294.0757300374,3797.227379565675,3037.78190365254
OAS30071_MR_d0018,1503170.3561739922,610671.5199866443,506250.339667277,2938.472713839421,2810.216126070285
OAS30071_MR_d0055,1536636.4654493332,611478.1193972543,508693.7431465508,2837.4142200327337,2782.5085332561084
OAS30072_MR_d0218,1432110.0,652467.2685757378,439213.1802026381,4051.521880302491,3891.757616384216
OAS30072_MR_d1379,1410329.5306031704,621182.2514794451,475228.2096479821,3995.9768167076263,3916.888719345739
OAS30072_MR_d2219,1407950.0211265087,610224.6888554754,472912.0982536984,3909.287778588257,3839.207015604991
OAS30073_MR_d0033,1576766.25,681755.1666266322,453761.2819909102,3685.4939658938033,3216.1631440297506
OAS30073_MR_d1587,1541800.783546209,677977.5834023003,474292.61436602834,4042.9068805114016,3453.9539396706723
OAS30073_MR_d2042,1541714.2648530006,668404.6402869532,475408.9244769623,4040.35765365194,3375.312557768459
OAS30073_MR_d2851,1534261.8728835585,662353.689185983,468842.4968779899,4017.094796997656,3381.443137704756
OAS30073_MR_d3670,1533551.3125076294,654077.3137255925,470716.1972528992,3827.832784713057,3256.2221886036527
OAS30073_MR_d4456,1519069.5290851593,649016.3353895362,463419.9223212246,3860.178204249486,3373.8862234407125
OAS30074_MR_d0049,1437547.8568447828,650262.1618632295,487181.8382285936,4328.157618498734,4045.648594445956
OAS30074_MR_d1871,1416787.648844719,636913.0971513754,480191.2281927655,4309.816070000544,3929.300693328365
