MRID,MUSE_702,MUSE_601,MUSE_604,MUSE_47,MUSE_48
757_20140714,1691148.7151696682,598583.3424396253,503264.35021521593,3213.5583935649506,3210.514290255605
757_20171021,1654062.9370937347,598036.3483088191,482069.6814970552,3205.70580374438,3200.518577524728
760_20111013,1298870.0,640112.9058335322,483410.3951896649,3574.807332527505,3050.7518073402266
764_20130216,1459428.0,660976.7456839255,543142.6558898418,4175.080922114692,3701.820165160597
764_20140927,1455056.3929029107,660353.0445886313,544416.5280123047,4247.572431870367,3633.335326382403
764_20160405,1479783.4673404694,666403.0477606393,536832.1129901506,4243.300501765471,3593.904478721427
767_20111020,1601399.0,613210.8862313515,533900.9328718202,2936.975731844469,3129.857081214613
768_20121203,1473124.0244379044,631169.3364614731,478684.8088416561,4097.384067203215,3827.064106149592
768_20140303,1475524.90234375,620433.4862978284,473634.8177352636,4036.200879007239,3743.213547052741
770_20120702,1489851.6592013836,621373.661645227,485212.1996580062,3153.608050627324,3208.894093881565
770_20140327,1499139.0896286964,618565.2044447789,469652.6095705868,3156.9552528404224,3156.9552528404224
770_20160120,1499142.689618826,614663.8928222373,464778.7021257692,3158.0923229132736,3105.43837334676
771_20080117,1390114.8552381992,694647.3284076969,512291.0942319296,3902.034565778308,3619.349999007277
771_20090821,1387051.2551164627,685643.503282359,514402.4272499817,3864.878239534344,3576.6206755741964
771_20110115,1392783.6553442478,678191.4405080588,497263.91953495145,3794.760363347185,3564.364198429677
771_20121027,1360956.0540795326,672497.0506026646,472158.6061562607,3921.331769726575,3608.633930854488
771_20140622,1375007.5669612885,677772.3116182218,474571.283200592,3860.0482790761,3514.3536869958925
771_20160318,1354444.213956833,677402.8285613285,483793.6441980648,3957.930399636397,3632.326010165668
772_20080118,1474635.658596754,639543.0898318201,522107.1022563134,3695.839161891928,3567.8346569145624
772_20090807,1468233.6583423617,627383.3864039073,518126.1728378916,3727.1480505554414,3453.660234992578
773_20120503,1273722.0,643858.2516436082,519949.887024013,4498.634709928854,4011.3855299665074
773_20171110,1251282.6604759097,629800.941269363,494230.3097046327,4371.292323356155,3729.026627741473
774_20130620,1561207.2620368004,565060.630004781,471094.3454526728,3487.6011332768644,3201.822282141666
774_20141029,1562006.3585586548,556082.7308366887,471939.4284406073,3515.492057492431,3181.5203120306496
774_20160815,1563407.3983953,551609.4212570835,468606.6143144099,3468.4201679253265,3080.966902331136
776_20130409,1472427.658509016,554076.7369478812,516178.36829464487,3105.85050157984,2492.8383575532
778_20080118,1484170.8589756489,632102.1111586349,519319.3128445864,3776.1529872437854,3454.7290648758217
778_20090807,1476159.6586573124,625539.9212930634,522216.7359139215,3755.959721428496,3402.567039498981
78_20121020,1336191.0,608026.9961405218,536248.2609147943,3941.569730674731,3542.382788089428
78_20140705,1331193.0453014374,613602.1992451833,537051.376819433,3929.539417541077,3488.030204689961
78_20151122,1334475.113124013,608778.2163215725,541030.2240519997,3943.4470841167295,3486.9502205749563
780_20130515,1479327.1675724387,603006.6613417191,518996.33120142034,4029.5089766624183,3797.196859957104
784_20080228,1362313.254133463,626498.3118419466,537279.2688201215,3380.826083165017,3242.267637133664
784_20091105,1353721.2537920475,614050.1515378499,518301.9694158591,3354.1145695287923,3166.5072542263506
784_20110219,1329235.2528190613,607089.2826190579,506111.0629631236,3285.5133538443765,3062.175903858098
784_20121208,1343418.0533826351,604600.2420691103,487847.6393795528,3250.8273672081214,3037.5117796545824
784_20140706,1353022.7096557615,604287.6223925076,485977.0381013198,3240.430324960977,3013.4099616858243
784_20170701,1352191.3522303104,587058.5092693663,493668.0865791645,3203.074110557937,3020.331372079196
786_20130530,1301625.6517219543,670948.6045756937,500042.7957163719,3759.938341716696,3680.8372545838074
786_20140826,1299246.8504894972,663611.1642186404,500135.2718043353,3658.508426548592,3575.300473164996
79_20080218,1650595.2655887604,658129.39477832,453981.3565433851,3810.225547729692,3572.1514275577683
79_20090320,1648828.86551857,655526.984972606,450677.33896933385,3835.1222394950887,3545.7968710881323
79_20100924,1637977.265087366,647692.1583523874,461868.1432195759,3752.623662893476,3572.430678522265
79_20120213,1644763.2653570175,638512.7634178586,457061.1088574939,3708.971601504703,3498.222722881932
79_20130807,1639930.4478356838,627986.3120352525,455463.6463286312,3648.765331823018,3413.3273623190958
79_20150511,1640490.4801490307,626190.3149141487,452772.85525038576,3614.0405289849614,3424.708738609772
791_20130216,1208265.0,641180.014318051,517373.672166288,3578.949981998982,3571.8488907648566
791_20140927,1206277.4709419012,644609.6606815549,513903.1196140834,3499.51213284577,3549.301939613901
791_20160405,1225534.4659996033,638663.2298031229,510045.1883910387,3497.0086558044814,3355.8214528173794
795_20080207,1413034.8561489582,643244.9137133778,539227.2716850286,4135.057395614036,3797.452122198264
